Quick Facts: Data Scientists,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33","Click State/Area tab, then the job name, then scroll to the second graph","Click work environment tab, find info on remote/office, teams or alone",
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment
data scientist,108020,BS,none,None,202900,36,73100,DC,"office, remote, outside",team or solo
physician assistant,130020,masters,none,none,153400,28,43700,NY,"office, hospital",team or solo
medical assistant,42000,postsecondary non-degree,none,none,783900,15,118000,NM,office,team
bioengineers and biomedical engineers,100730,BS,none,none,19700,7,1500,MA,lab,team
biological technicians,51430,BS,none,none,83100,7,5500,AK,"office, lab",team or solo
EMT and paramedic,44780,postsecondary non-degree,none,None,270400,6,16200,NY-NJ-PA,"indoor, outdoor",team
registered nurses,86070,BS,none,none,3300100,6,197200,SD,"office, hospital",team or solo
physician and surgeon,239200,doctoral,none,Internship/residency,834500,4,34500,PA,"office, hospital",team or solo
